Categorisation,Subcategories,Barcode,Name,Form,Product code ,SDS,Cas_No1,"Content1
(% )",Cas_No2,"Content2
(% )",Cas_No3,"Content3
(% )",Cas_No4,"Content4
(% )",Cas_No5,"Content5
(% )",Cas_No6,"Content6
(% )",Cas_No7,"Content7
(% )",Cas_No8,"Content8
(% )",Cas_No9,"Content9
(% )",Cas_No10,"Content10
(% )",Cas_No11,"Content11
(% )",Cas_No12,"Content12
(% )"
Cleaning chemicals?(135),Glass cleaner (5),1.50605E+13,Glass cleaner Stainless Steel Cleaner 1 Litre Super Concentrated can be used in a Trigger Spray or Bucket,Liquid,MFB724,https://media.supplychain.nhs.uk/media/documents/MFB724/COSHH/70596_MFB724.pdf,67-63-0 ,5 to 15,3332-27-2 ,1 to 5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Floor cleaner (8),5.03004E+12,Floor cleaner 5 litre suitable for all hard floors lemon scented low foaming dries quickly dilution with trigger spray,Liquid,MFB725,https://media.supplychain.nhs.uk/media/documents/MFB725/COSHH/70600_MFB725.pdf,69011-36-5 ,1 to 10,,,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Rinse aid?(10),5.03004E+12,Rinse aid Concentrated dishwasher cleaner 5 litre,Liquid,MFB726,https://media.supplychain.nhs.uk/media/documents/MFB726/COSHH/70601_MFB726.pdf,5329-14-6,1 to 10,112-34-5,1 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Floor cleaner (8),5.03004E+12,Floor cleaner Suitable for all hard floors 1 litre bottles low foaming lemon fragrance,Liquid,MFB728,https://media.supplychain.nhs.uk/media/documents/MFB728/COSHH/70602_MFB728.pdf,160875-66-1,1 to 10,1300-72-7,1 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Detergent (8),5.03004E+12,Dishwasher Detergent Suitable for use in all dishwashing machines 5 litre anti corrosive agent helps protect your machine,Liquid,MFB729,https://media.supplychain.nhs.uk/media/documents/MFB729/COSHH/70603_MFB729.pdf,1310-73-2,10 to 30,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Detergent (8),5.03004E+12,Dishwasher Detergent Suitable for all automatic dish washing machines 10 litre contains anti corrosive agent to protect the machine,Liquid,MFB730,https://media.supplychain.nhs.uk/media/documents/MFB730/COSHH/70604_MFB730.pdf,1310-73-2,10 to 30,,,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),5.03304E+12,Washing up liquid Lemon 5 litre pH neutral detergent dilution 1 to 750,Liquid,MFB732,https://media.supplychain.nhs.uk/media/documents/MFB732/COSHH/70605_MFB732.pdf,25155-30-0,10 to 30,68891-38-3,1 to 10,,1 to 10,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Multipurpose cleaner and disinfectant (2),5.02291E+12,Multipurpose cleaner and disinfectant 5 litre concentrate for hard surfaces dilution with trigger spray,Liquid,MFB734,https://media.supplychain.nhs.uk/media/documents/MFB734/COSHH/70606_MFB734.pdf,69011-36-5,1 to 10,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Degreaser (4),5.02291E+12,Degreaser Universal cleaner 5 litre can be used in a dosing system dilution 1 to 10 heavy soiled,Liquid,MFB735,https://media.supplychain.nhs.uk/media/documents/MFB735/COSHH/70607_MFB735.pdf,5131-66-8 ,1 to 10,69011-36-5,1 to 10,308062-28-4,1 to 10,160875-66-1,1 to 10,1310-73-2 ,1 to 10,,,,,,,,,,,,,,
Cleaning chemicals?(135),Cleaner (3),,Cleaner 1 litre hard surface cleaner will create 50 trigger bottles or 25 buckets of ready to use solution,Liquid,MFB736,https://media.supplychain.nhs.uk/media/documents/MFB736/COSHH/70608_MFB736.pdf,5131-66-8 ,1 to 10,69011-36-5,1 to 10,68608-68-4,1 to 10,160875-66-1,1 to 10,1310-73-2 ,1 to 10,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Bleach (4),5.01016E+12,Bleach Thin for the cleaning and disinfection of toilets urinals basins and sinks ready to use liquid solution ,Liquid,MFB737 ,https://media.supplychain.nhs.uk/media/documents/MFB737/COSHH/70636_MFB737.pdf,7681-52-9,0 to 2.5,,,,,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Disinfectant (4),5.01016E+12,Disinfectant Pine ready to use liquid solution 5 Ltr ,Liquid,MFB738 ,https://media.supplychain.nhs.uk/media/documents/MFB738/COSHH/70637_MFB738.pdf,68424-85-1 ,0 to 2.5,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Glass Cleaner (4),,Glass Cleaner For mirror and glass ready to use trigger spray 750 ml ,Liquid,MFB739 ,https://media.supplychain.nhs.uk/media/documents/MFB739/COSHH/70700_MFB739%20M.S.D.S.pdf,67-63-0,2.5 to 10,55965-84-9,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Bleach and disinfectant products?(15),Bleach (4),5.01016E+12,Bleach Thick for use in washroom areas and septic tanks ready to use liquid solution ,Liquid,MFB740 ,https://media.supplychain.nhs.uk/media/documents/MFB740/COSHH/70638_MFB740.pdf,7681-52-9,3 to 5,68891-38-3 ,0 to 2.5,1310-73-2,0 to 2.5,61788-90-7,0 to 2.5,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Daily use in all water areas already diluted ready for use ,Liquid,MFB743 ,https://media.supplychain.nhs.uk/media/documents/MFB743/COSHH/70639_MFB743.pdf,68424-85-1,0 to 2.5,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),1.50602E+13,Hard Surface Cleaner Detergent for hard surfaces low to medium foaming 12 x 1 litre TS bottles,Liquid,MFB748,https://media.supplychain.nhs.uk/media/documents/MFB748/COSHH/70617_MFB748%20M.S.D.S.pdf,7732-18-5,>80,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),1.50602E+13,Hard Surface Cleaner Concentrated detergent for hard surfaces low to medium foaming use at dilutions of 4% to 6% 12 x 1 litre bottles,Liquid,MFB749,https://media.supplychain.nhs.uk/media/documents/MFB749/COSHH/70618_MFB749.pdf,7320-34-5,1 to 5,68439-45-2,1 to 5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),4.50602E+13,Hard Surface Cleaner Concentrated detergent for hard surfaces low to medium foaming use at dilutions of 4% to 6% 4 x 5 litre bottles,Liquid,MFB750,https://media.supplychain.nhs.uk/media/documents/MFB750/COSHH/70619_MFB750.pdf,7320-34-5,1 to 5,68439-45-2,1 to 5,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Biological bleach free toilet cleaner alpine scented suitable for use in all water areas 12 x 750ml bottles ,Liquid,MFB752 ,https://media.supplychain.nhs.uk/media/documents/MFB752/COSHH/70620_MFB752%20M.S.D.S.pdf,7732-18-5,>80,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Biological bleach free toilet cleaner alpine scented suitable for use in all water areas 12 x 1 litre bottles ,Liquid,MFB754 ,https://media.supplychain.nhs.uk/media/documents/MFB754/COSHH/70621_MFB754%20M.S.D.S.pdf,7732-18-5,>80,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner 3 way 1 ltr ,Liquid,MFB757 ,"https://media.supplychain.nhs.uk/media/documents/MFB757/COSHH/59329_MFB757.pdf
https://media.supplychain.nhs.uk/media/documents/MFB757/COSHH/66270_MFB757.pdf",7664-38-2,3 to 10,68439-46-3,3 to 10,68424-85-1,1 to 3,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Surface cleaning solution for use on washrooms floors and kitchens 12 x 1 litre TS bottles ,Liquid,MFB758 ,https://media.supplychain.nhs.uk/media/documents/MFB758/COSHH/70622_MFB758%20M.S.D.S.pdf,7732-18-5,>80,68439-45-2,<1,60-00-4,<1,2634-33-5,<1,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Concentrated surface cleaning solution for use on washrooms floors and kitchens 12 x 1 litre bottles ,Liquid,MFB759 ,https://media.supplychain.nhs.uk/media/documents/MFB759/COSHH/70623_MFB759%20M.S.D.S.pdf,7732-18-5,>70,68439-45-2,<1,60-00-4,<1,2634-33-5,<1,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Concentrated surface cleaning solution for use on washrooms floors and kitchens 4 x 5 litre bottles ,Liquid,MFB760 ,https://media.supplychain.nhs.uk/media/documents/MFB760/COSHH/70624_MFB760%20M.S.D.S.pdf,7732-18-5,>70,68439-45-2,<1,60-00-4,<1,2634-33-5,<1,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Floor cleaner (8),1.50602E+13,Floor cleaner Antimicrobial concentrated multi purpose detergent floor cleaner bleach free 12 x 1 litre bottles,Liquid,MFB762,https://media.supplychain.nhs.uk/media/documents/MFB762/COSHH/70625_MFB762.pdf,7732-18-5,>80,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Floor cleaner (8),4.50602E+13,Floor cleaner Antimicrobial concentrated multi purpose detergent floor cleaner bleach free 4 x 5 litre bottles,Liquid,MFB763,https://media.supplychain.nhs.uk/media/documents/MFB763/COSHH/70626_MFB763.pdf,7732-18-5,>80,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Cleaner (3),1.50602E+13,Cleaner Kitchen concentrated surface disinfectant for use on hard surfaces bleach free use at a dilution of 1 to 4 12 x 1 litre bottles,Liquid,MFB764,https://media.supplychain.nhs.uk/media/documents/MFB764/COSHH/70627_MFB764.pdf,141-43-5,1 to 5,7173-51-5,1 to 5,68439-45-2 ,1 to 5,68424-85-1,<1,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Cleaner (3),1.50602E+13,Cleaner Kitchen surface disinfectant for use on hard surfaces bleach free 12 x 1 litre TS bottle,Liquid,MFB766,https://media.supplychain.nhs.uk/media/documents/MFB766/COSHH/70640_MFB766.pdf,63449-41-2,<1,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Glass cleaner (5),,Glass cleaner Concentrated trigger spray 12 x 1 litre,Liquid,MFB770,https://media.supplychain.nhs.uk/media/documents/MFB770/COSHH/70701_MFB770%20%20M.S.D.S.pdf,577-11-7 ,1 to 2.5,64-17-5 ,5 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Detergent (8),,Dishwasher Detergent Concentrated liquid machine warewashing detergent for all water areas 4 x 5 litre for use through installed dosing machine,Liquid,MFB771,https://media.supplychain.nhs.uk/media/documents/MFB771/COSHH/70629_MFB771%20-%20GB-EN-113286E-TRUMP%20HYDRO%20SPECIAL.PDF,1310-73-2,10 to 20,164462-16-2 ,5 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),High Level Disinfectant (3),,High Level Disinfectant Liquid solution CE class IIa under EN13485 for surfaces of medical devices bactericidal fungicidal virucidal mycobactericidal - tested to EN13697 EN13727 EN13624 EN14476 EN14348 EN14347 hazard free 750ml ready to use trigger spray,Liquid,MFB775,https://media.supplychain.nhs.uk/media/documents/MFB775/COSHH/70641_MFB775.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),High Level Disinfectant (3),,High Level Disinfectant Liquid solution CE class IIa EN13485 for surfaces of medical devices bactericidal fungicidal virucidal mycobactericidal tested to EN13697 EN13727 EN13624 EN14476 EN14348 EN14347 1 litre self dosing concentrated,Liquid,MFB777,https://media.supplychain.nhs.uk/media/documents/MFB777/COSHH/70630_MFB777.pdf,68439-45-2,1 to 5,68424-85-1,1 to 5,2372-82-9,1 to 5,7173-51-5,1 to 5,18472-51-0,0.1 to 1,,,,,,,,,,,,,,
Cleaning chemicals?(135),High Level Disinfectant (3),,High Level Disinfectant Multipurpose ready to use solution 1 litre antimicrobial sanitiser formulated to kill surface bacteria viruses and moulds,Liquid,MFB778,https://media.supplychain.nhs.uk/media/documents/MFB778/COSHH/70702_MFB778%20M.S.D.S.pdf,112-34-5 ,< 2.5,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Detergent (8),,Dishwasher Detergent Concentrated machine washing detergent for all water areas 5 litres,Liquid,MFB779,https://media.supplychain.nhs.uk/media/documents/MFB779/COSHH/70651_MFB779.pdf,1310-73-2,10 to 30,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Fabric Conditioner (1),,Fabric Conditioner Concentrated and lasting freshness 5 litres,Liquid,MFB780,https://media.supplychain.nhs.uk/media/documents/MFB780/COSHH/70703_MFB780%20M.S.D.S.pdf,52-51-7 ,<1,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Aona rapid action efficient cleaner for all non-porous surfaces kills e.coli and MRSA 750ml,Liquid,MFB782,https://media.supplychain.nhs.uk/media/documents/MFB782/COSHH/70704_MFB782%20M.S.D.S.PDF,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Aona rapid action efficient cleaner for all non-porous surfaces kills E coli and MRSA 5 litres,Liquid,MFB783,https://media.supplychain.nhs.uk/media/documents/MFB783/COSHH/70705_MFB783%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Toilet Cleaner (6),,Toilet Cleaner Kills germs prevents limescale stainless steel safe angled neck 750ml,Liquid,MFB784,https://media.supplychain.nhs.uk/media/documents/MFB784/COSHH/70715_MFB784%20M.S.D.S.pdf,63449-41-2,1 to 10,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Toilet Cleaner (6),,Toilet Cleaner AONA cleaner and descaler for frequent use in all water areas 1 litre,Liquid,MFB785,https://media.supplychain.nhs.uk/media/documents/MFB785/COSHH/70716_MFB785.pdf,5329-14-6 ,5 to 15,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Toilet Cleaner (6),,Toilet Cleaner Kills germs prevents limescale stainless steel safe angled neck 750ml,Liquid,MFB786,https://media.supplychain.nhs.uk/media/documents/MFB786/COSHH/70706_MFB786%20M.S.D.S.pdf,63449-41-2,1 to 10,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Toilet Cleaner (6),,Toilet Cleaner AONA cleaner and descaler for frequent use in all water areas 1 litre,Liquid,MFB787,https://media.supplychain.nhs.uk/media/documents/MFB787/COSHH/70652_MFB787.pdf,5329-14-6,5 to 15,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Toilet Cleaner (6),,Toilet Cleaner AONA cleaner and descaler for frequent use in all water areas 1 litre,Liquid,MFB788,https://media.supplychain.nhs.uk/media/documents/MFB788/COSHH/70717_MFB788.pdf,5329-14-6,5 to 15,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Washroom Cleaner (3),,Washroom Cleaner AONA cleaner and descaler for frequent use in all water areas 5 litres,Liquid,MFB789,https://media.supplychain.nhs.uk/media/documents/MFB789/COSHH/70653_MFB789.pdf,5329-14-6 ,5 to 15,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Air Freshener (9),,Air Freshener R5 ready to use 750ml ,Liquid,MFB790 ,https://media.supplychain.nhs.uk/media/documents/MFB790/COSHH/70827_MFB790%20M.S.D.S.pdf,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Washing up liquid (4),,Washing up liquid 1L CITROL ph neutral for manual use,Liquid,MFB791,https://media.supplychain.nhs.uk/media/documents/MFB791/COSHH/70654_MFB791.pdf,25155-30-0,10 to 30,68891-38-3,1 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Washing up liquid (4),,Washing up liquid 5L concentrated ph neutral for manual use,Liquid,MFB792,https://media.supplychain.nhs.uk/media/documents/MFB792/COSHH/70707_MFB792%20M.S.D.S.pdf,3380-34-5 ,0.2,68585-34-2,15 to 30,107-21-1 ,0 to 5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Air freshener (2),,Air freshener Blast high discharge air freshener 750ml,Liquid,MFB793,https://media.supplychain.nhs.uk/media/documents/MFB793/COSHH/70655_MFB793.pdf,74-98-6,30 to 60,106-97-8 ,15 to 30,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Floor cleaner (8),,Floor cleaner 5l floorit neutral ph concentrated multi purpose,Liquid,MFB794,https://media.supplychain.nhs.uk/media/documents/MFB794/COSHH/70656_MFB794.pdf,68439-46-3,1 to 10,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Floor stripper (2),,Floor stripper 5L AONA stripper for floor polish concentrated heavy duty,Liquid,MFB796,https://media.supplychain.nhs.uk/media/documents/MFB796/COSHH/70657_MFB796.pdf,6834-92-0 ,1 to 5,1964-02-08,1 to 5,141-43-5 ,1 to 5,1300-72-7 ,1 to 5,1310-73-2,1 to 5,,,,,,,,,,,,,,
Cleaning chemicals?(135),Floor stripper (2),,Floor stripper 5L ZIP STRIP RINSE FREE FLOOR STRIPPER concentrated for use inmachine,Liquid,MFB798,https://media.supplychain.nhs.uk/media/documents/MFB798/COSHH/70658_MFB798.pdf,5131-66-8,10 to 30,141-43-5,1 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Sanitiser (1),,Sanitiser 750ml TOPIT SANITISING CLEANER Kitchen sanitiser already diluted ready to use,Liquid,MFB799,https://media.supplychain.nhs.uk/media/documents/MFB799/COSHH/70659_MFB799.pdf,69011-36-5,1 to 10,5131-66-8,1 to 10,112-34-5,1 to 10,141-43-5,1 to 10,68424-85-1,<1,68439-50-9,<1,,,,,,,,,,,,
Cleaning chemicals?(135),Laundry detergent (3),,Laundry detergent 5L concentrated detergent Non Boilogical for machine washing for all water areas,Liquid,MFB803,https://media.supplychain.nhs.uk/media/documents/MFB803/COSHH/70660_MFB803.pdf,160875-66-1,1 to 10,2809-21-4,1 to 10,68439-50-9,1 to 10,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Destainer (2),,Destainer Adamatic destainer & tannin remover powder 750ml,Liquid,MFB804,https://media.supplychain.nhs.uk/media/documents/MFB804/COSHH/70661_MFB804.pdf,7681-52-9,1 to 10,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Carpet shampoo (1),,Carpet shampoo 5L comet concentrated carpet shampoo,Liquid,MFB806,https://media.supplychain.nhs.uk/media/documents/MFB806/COSHH/70662_MFB806.pdf,Unknown,1 to 10,1310-73-2,1 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Glass cleaner (5),,Glass cleaner 750ml AONA ready to use trigger spray glass mirror window & vdu cleaner,Liquid,MFB807,https://media.supplychain.nhs.uk/media/documents/MFB807/COSHH/70708_MFB807%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Disinfectant (5),5.41315E+12,Disinfectant Bathroom Clean and Shine Spray 750ml,Liquid,MFB808,https://media.supplychain.nhs.uk/media/documents/MFB808/COSHH/71852_MFB808.pdf,5949-29-1,1 to 5,68139-30-0 ,1 to 5,28348-53-0,1 to 5,68439-46-3,1 to 5,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),,Dishwasher Detergent Concentrated dishwasher powder pods 100 pods per pack,Powder,MFB820,https://media.supplychain.nhs.uk/media/documents/MFB820/COSHH/70831_MFB820.pdf,497-19-8,20 to 50,1344-09-8 ,10 to 20,15630-89-4,1 to 20,77-92-9,1 to 30,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),,Dishwasher Detergent Concentrated dishwasher powder pods 200 pods per pack,-,MFB821,https://media.supplychain.nhs.uk/media/documents/MFB821/COSHH/70832_MFB821.pdf,497-19-8,20 to 50,1344-09-8 ,10 to 20,15630-89-4,1 to 20,77-92-9,1 to 30,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),,Dishwasher Detergent Machine dishwasher powder for use in installed dosing systems 5kg,,MFB828,https://media.supplychain.nhs.uk/media/documents/MFB828/COSHH/70836_MFB828.pdf,497-19-8,20 to 50,1344-09-8 ,10 to 20,15630-89-4,1 to 20,77-92-9,1 to 30,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),,Hard Surface Cleaner RTU FAST at lifting and removing surface contaminants EFFECTIVE on all hard surfaces UNIQUE so no need to rinse 1 Ltr ,Liquid,MFB831 ,https://media.supplychain.nhs.uk/media/documents/MFB831/COSHH/71221_MFB831%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner RTU FAST at lifting and removing surface contaminants EFFECTIVE on all hard surfaces UNIQUE so no need to rinse 750 ml ,Liquid,MFB832 ,https://media.supplychain.nhs.uk/media/documents/MFB832/COSHH/71222_MFB832%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner RTU FAST at lifting and removing surface contaminants EFFECTIVE on all hard surfaces UNIQUE so no need to rinse 1 Ltr ,Liquid,MFB833 ,https://media.supplychain.nhs.uk/media/documents/MFB833/COSHH/71223_MFB833%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Kitchen Cleaner (5),,Kitchen Cleaner RTU Anti Bacterial Multi Surface Disinfectant 99.999% effective 24 hour protection against bacteria and viruses Alcohol-free and works when dry 750 ml ,Liquid,MFB834 ,https://media.supplychain.nhs.uk/media/documents/MFB834/COSHH/71224_MFB834%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Kitchen Cleaner (5),,Kitchen Cleaner RTU Anti Bacterial Multi Surface Disinfectant 99.999% effective 24 hour protection against bacteria and viruses Alcohol-free and works when dry 1 ltr ,Liquid,MFB835 ,https://media.supplychain.nhs.uk/media/documents/MFB835/COSHH/71225_MFB835%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Multipurpose cleaner and disinfectant (2),,Multipurpose cleaner and disinfectant RTU All Purpose Cleaner FAST at lifting and removing Surface contaminants EFFECTIVE on all hard surfaces UNIQUE so no need to rinse 1 Ltr,Liquid,MFB836,https://media.supplychain.nhs.uk/media/documents/MFB836/COSHH/71226_MFB836%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Descaler (6),7.6154E+12,Descaler Limescale remover 5 ltr acid based formula has been designed to swiftly remove grime and limescale from most washable surfaces in toilets washrooms showers changing rooms and swimming pools,Liquid,MFB837,https://media.supplychain.nhs.uk/media/documents/MFB837/COSHH/71227_MFB837.pdf,7664-38-2,3 to 10,69011-36-5,3 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Descaler (6),7.6154E+12,Descaler Limescale remover 1 ltr acid based formula has been designed to swiftly remove grime and limescale from most washable surfaces in toilets washrooms showers changing rooms and swimming pools,Liquid,MFB838,https://media.supplychain.nhs.uk/media/documents/MFB838/COSHH/71228_MFB838.pdf,7664-38-2,3 to 10,69011-36-5,3 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Tablets (2),,Dishwasher Tablets 4kg concentrated for all water areas 200 Tablets,Tablet,MFB839,https://media.supplychain.nhs.uk/media/documents/MFB839/COSHH/71451_MFB839.PDF,497-19-8 ,25 to 30,15630-89-4,10 to 20,13870-28-5,3 to 5,120313-48-6,1 to 2.5,29329-71-3,1 to 2.5,9000-90-2,0.5 to 1,7446-19-7,0.5 to 1,9014-01-1 .,0.1 to 0.25,56-81-5,0.1 to 0.25,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Glass all purpose cleaner 12x750ml ready to use for janitorial or kitchen use,Liquid,MFB840,https://media.supplychain.nhs.uk/media/documents/MFB840/COSHH/71452_MFB840%20M.S.D.S.PDF,5131-66-8 ,1 to 2.5,64-17-5 ,2.5 to 5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Super wetting multi purpose floor cleaner for janitorial or kitchen use concentrated product dilute to use 12x1l suitable for bucket system or floor cleaner or machines and scrubber driers,Liquid,MFB841,https://media.supplychain.nhs.uk/media/documents/MFB841/COSHH/71453_MFB841%20M.S.D.S.PDF,31726-34-8 ,3 to 5,577-11-7 ,3 to 5,64-17-5 ,1 to 2.5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Laundry Detergent Powder (1),,Laundry Detergent Powder Biological granulated universal for manual dosing 7.5kg,Powder,MFB842,https://media.supplychain.nhs.uk/media/documents/MFB842/COSHH/71454_MFB842.PDF,497-19-8,25 to 35,15630-89-4,10 to 20,68411-30-3,7 to 10,68951-67-7,1 to 3,68002-97-1,1 to 3,1310-73-2 ,0.5 to 2,,,,,,,,,,,,
Cleaning chemicals?(135),Washroom Cleaner (3),,Washroom Cleaner Highly concentrated periodic and daily sanitary for hard surfaces with citrus fragrance12x1l dilute to use use concentrated as an internal toilet bowl cleaner,Liquid,MFB843,https://media.supplychain.nhs.uk/media/documents/MFB843/COSHH/71455_MFB843%20M.S.D.S.PDF,5329-14-6 ,5 to 10,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Washing up liquid (4),,Washing up liquid Manual neutral detergent 6x1l ready to use with ph neutral,Liquid,MFB844,https://media.supplychain.nhs.uk/media/documents/MFB844/COSHH/71456_MFB844.PDF,85117-50-6 ,10 to 20,68891-38-3,3 to 5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Air freshener (2),,Air freshener 12x750ml,Liquid,MFB845,https://media.supplychain.nhs.uk/media/documents/MFB845/COSHH/71457_MFB845.PDF,64-17-5,50 to 100,78-93-3,1 to 2.5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Laundry detergent (3),,Laundry detergent Liquid oxygen based detstainer bleach10l for all water areas to be used with dosing equipment,Liquid,MFB846,https://media.supplychain.nhs.uk/media/documents/MFB846/COSHH/71458_MFB846.PDF,7722-84-1 ,30 to 35,64-19-7 ,2.5 to 5,79-21-0 ,1 to 2.5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Powder (3),,Dishwasher Powder Super concentrated solid warewashing detergent 4 x3.1kg for all water areas for use in installed dosing system,Solid,MFB847,https://media.supplychain.nhs.uk/media/documents/MFB847/COSHH/71470_MFB847.pdf,497-19-8 ,30 to 50,51580-86-0 ,3 to 5,2809-21-4,3 to 5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Powder (3),,Dishwasher Powder Highly concetrated solid for all water conditions 4x4.5kg for use through installed dosing system,Solid,MFB848,https://media.supplychain.nhs.uk/media/documents/MFB848/COSHH/71459_MFB848.PDF,1310-73-2,30 to 05,497-19-8 ,3 to 5,51580-86-0 ,3 to 5,111905-53-4 ,1 to 2.5,,,,,,,,,,,,,,,,
